Date	Value
28.09.2021 0:00	1,259002
28.09.2021 8:00	1,325428
28.09.2021 16:00	1,284038
29.09.2021 0:00	0,4975401
29.09.2021 8:00	-0,007682623
29.09.2021 16:00	-0,003985124
30.09.2021 0:00	-0,007672047
30.09.2021 8:00	-0,007724178
30.09.2021 16:00	-0,007674772
01.10.2021 0:00	-0,0076723
01.10.2021 8:00	-0,007535402
01.10.2021 16:00	-0,007877694
02.10.2021 0:00	-0,004283259
02.10.2021 8:00	-0,00435083
02.10.2021 16:00	-0,008508944
03.10.2021 0:00	0,2650606
03.10.2021 8:00	0,3867472
03.10.2021 16:00	0,5963795
04.10.2021 0:00	0,6885287
04.10.2021 8:00	0,6476012
04.10.2021 16:00	0,5979829
05.10.2021 0:00	0,8466326
05.10.2021 8:00	0,8944349
05.10.2021 16:00	0,932246
06.10.2021 0:00	1,090706
06.10.2021 8:00	1,239366
06.10.2021 16:00	1,225768
07.10.2021 0:00	1,234936
07.10.2021 8:00	1,244537
07.10.2021 16:00	1,234347
08.10.2021 0:00	1,234854
08.10.2021 8:00	1,272427
08.10.2021 16:00	1,264397
09.10.2021 0:00	1,273628
09.10.2021 8:00	1,327134
09.10.2021 16:00	1,413781
10.10.2021 0:00	1,405942
10.10.2021 8:00	1,411317
10.10.2021 16:00	1,408227
11.10.2021 0:00	1,402132
11.10.2021 8:00	1,343797
11.10.2021 16:00	1,363818
12.10.2021 0:00	1,384118
12.10.2021 8:00	1,397588
12.10.2021 16:00	1,40435
13.10.2021 0:00	1,365404
13.10.2021 8:00	1,324674
13.10.2021 16:00	1,361658
14.10.2021 0:00	1,39064
14.10.2021 8:00	1,40775
14.10.2021 16:00	1,446888
15.10.2021 0:00	1,444301
15.10.2021 8:00	1,443031
15.10.2021 16:00	1,443312
16.10.2021 0:00	1,463844
16.10.2021 8:00	1,416164
16.10.2021 16:00	1,397663
17.10.2021 0:00	1,383397
17.10.2021 8:00	1,388183
17.10.2021 16:00	1,378486
18.10.2021 0:00	1,32561
18.10.2021 8:00	1,361107
18.10.2021 16:00	1,353498
19.10.2021 0:00	1,282159
19.10.2021 8:00	1,215445
19.10.2021 16:00	1,272082
20.10.2021 0:00	1,366699
20.10.2021 8:00	1,377743
20.10.2021 16:00	1,300404
21.10.2021 0:00	1,25879
21.10.2021 8:00	1,362145
21.10.2021 16:00	1,387802
22.10.2021 0:00	1,327439
22.10.2021 8:00	1,326067
22.10.2021 16:00	1,31441
23.10.2021 0:00	1,331698
23.10.2021 8:00	1,334492
23.10.2021 16:00	1,389384
24.10.2021 0:00	1,434124
24.10.2021 8:00	1,358459
24.10.2021 16:00	1,381631
25.10.2021 0:00	1,278277
25.10.2021 8:00	1,390865
25.10.2021 16:00	1,396145
26.10.2021 0:00	1,399407
26.10.2021 8:00	1,420527
26.10.2021 16:00	1,3974
27.10.2021 0:00	1,391687
27.10.2021 8:00	1,361973
27.10.2021 16:00	1,325455
28.10.2021 0:00	1,335403
28.10.2021 8:00	1,294127
28.10.2021 16:00	1,28911
29.10.2021 0:00	1,288265
29.10.2021 8:00	1,294167
29.10.2021 16:00	1,281126
30.10.2021 0:00	1,23022
30.10.2021 8:00	1,297039
30.10.2021 16:00	1,221344
31.10.2021 0:00	1,214416
31.10.2021 8:00	1,205341
31.10.2021 16:00	1,232576
01.11.2021 0:00	1,339748
01.11.2021 8:00	1,271486
01.11.2021 16:00	1,155454
02.11.2021 0:00	1,234192
02.11.2021 8:00	1,316453
02.11.2021 16:00	1,324455
03.11.2021 0:00	1,304378
03.11.2021 8:00	1,311742
03.11.2021 16:00	1,328701
04.11.2021 0:00	1,315229
04.11.2021 8:00	1,210437
04.11.2021 16:00	1,227494
